,year,water,disaster,province,amphur,tambon,maintenance,price,breed,produce
233,2561,93,0,33.0,1.0,12.0,1900.0,13.0,101.0,500.0
234,2561,61,0,33.0,4.0,21.0,1250.0,14.0,101.0,650.0
235,2561,72,0,33.0,14.0,5.0,860.0,11.0,101.0,410.0
236,2561,69,0,33.0,15.0,3.0,880.0,18.0,101.0,480.0
237,2561,90,0,33.0,20.0,2.0,1500.0,25.0,101.0,420.0
238,2561,60,0,33.0,19.0,5.0,1100.0,14.5,101.0,460.0
239,2561,46,0,33.0,18.0,3.0,1500.0,10.0,101.0,420.0
240,2561,43,0,33.0,18.0,1.0,1600.0,12.0,101.0,430.0
241,2561,3,0,71.0,5.0,12.0,600.0,7.9,101.0,750.0
242,2561,53,4,47.0,8.0,4.0,850.0,10.0,101.0,454.0
243,2561,68,11,47.0,7.0,3.0,800.0,10.0,101.0,450.0
244,2561,65,17,47.0,17.0,1.0,650.0,10.0,101.0,450.0
245,2561,26,0,25.0,9.0,1.0,860.0,6.5,101.0,700.0
246,2561,4,0,25.0,6.0,4.0,620.0,8.7,101.0,800.0
247,2561,28,0,76.0,7.0,4.0,200.0,7.5,101.0,800.0
248,2561,19,6,76.0,7.0,1.0,300.0,7.5,101.0,800.0
249,2561,132,42,76.0,7.0,8.0,300.0,7.5,101.0,800.0
250,2561,62,0,39.0,3.0,1.0,500.0,11.0,101.0,400.0
251,2561,29,0,57.0,3.0,5.0,1238.0,11.3,101.0,585.0
252,2561,41,6,57.0,3.0,4.0,935.0,11.25,101.0,580.0
253,2561,211,0,57.0,3.0,3.0,1265.0,11.5,101.0,575.0
254,2561,34,0,57.0,7.0,12.0,202.0,15.0,101.0,800.0
255,2561,29,15,48.0,5.0,11.0,800.0,16.0,101.0,453.0
256,2561,31,19,48.0,5.0,2.0,1000.0,18.0,101.0,400.0
257,2561,9,8,48.0,5.0,8.0,750.0,20.0,101.0,400.0
258,2561,47,0,36.0,12.0,1.0,650.0,13.0,101.0,515.0
259,2561,76,0,37.0,3.0,7.0,400.0,18.0,101.0,350.0
260,2561,104,0,37.0,6.0,3.0,1200.0,14.0,101.0,400.0
261,2561,39,0,45.0,1.0,23.0,500.0,15.0,101.0,450.0
262,2561,8,0,55.0,14.0,7.0,350.0,23.0,101.0,750.0
263,2561,6,0,55.0,7.0,16.0,713.0,7.5,101.0,850.0
264,2561,16,2,61.0,2.0,6.0,565.0,6.8,101.0,800.0
265,2561,54,12,61.0,3.0,1.0,1140.0,6.8,101.0,800.0
266,2561,15,2,48.0,4.0,8.0,820.0,15.0,101.0,455.0
267,2561,41,0,48.0,4.0,3.0,500.0,15.0,101.0,465.0
268,2561,21,9,38.0,1.0,6.0,4500.0,8.0,101.0,380.0
269,2561,27,0,15.0,4.0,5.0,590.0,8.5,101.0,980.0
270,2561,31,65,94.0,12.0,1.0,850.0,35.0,101.0,520.0
271,2561,51,37,94.0,9.0,1.0,1000.0,10.0,101.0,400.0
272,2561,85,44,94.0,9.0,15.0,640.0,10.0,101.0,360.0
273,2561,8,32,94.0,1.0,9.0,885.0,10.0,101.0,500.0
274,2561,20,0,16.0,6.0,9.0,1300.0,7.5,101.0,850.0
275,2561,32,0,72.0,10.0,3.0,660.0,8.5,101.0,920.0
276,2561,56,0,40.0,19.0,2.0,440.0,15.0,101.0,350.0
277,2561,132,0,40.0,19.0,5.0,440.0,15.0,101.0,350.0
278,2561,134,0,40.0,3.0,5.0,800.0,15.0,101.0,400.0
279,2561,59,0,40.0,3.0,4.0,800.0,15.0,101.0,430.0
280,2561,34,0,53.0,8.0,7.0,680.0,6.5,101.0,750.0
281,2561,64,0,31.0,8.0,2.0,700.0,15.0,101.0,550.0
282,2561,35,0,31.0,16.0,2.0,1230.0,12.5,101.0,450.0
283,2561,56,0,31.0,16.0,5.0,524.0,15.0,101.0,450.0
284,2561,80,0,31.0,16.0,6.0,760.0,15.0,101.0,420.0
285,2561,111,11,31.0,3.0,5.0,200.0,18.0,101.0,355.0
286,2561,21,0,36.0,2.0,1.0,500.0,8.0,101.0,500.0
287,2561,42,0,31.0,16.0,6.0,650.0,15.0,101.0,430.0
288,2561,43,0,31.0,16.0,6.0,1020.0,15.0,101.0,420.0
289,2561,57,0,31.0,16.0,6.0,860.0,15.0,101.0,420.0
290,2561,0,0,31.0,16.0,4.0,350.0,17.0,101.0,420.0
291,2561,69,1,19.0,10.0,6.0,850.0,6.5,101.0,750.0
292,2561,30,0,19.0,10.0,10.0,850.0,6.5,101.0,750.0
293,2561,0,0,19.0,10.0,1.0,850.0,6.5,101.0,750.0
294,2561,42,0,19.0,10.0,12.0,800.0,6.5,101.0,750.0
295,2561,51,0,19.0,10.0,9.0,750.0,6.5,101.0,750.0
296,2561,16,1,26.0,1.0,8.0,1250.0,6.8,101.0,650.0
297,2561,40,4,30.0,18.0,8.0,650.0,14.0,101.0,450.0
298,2561,59,0,30.0,32.0,3.0,650.0,14.0,101.0,450.0
299,2561,10,4,30.0,17.0,17.0,48.0,12.0,101.0,500.0
300,2561,15,0,30.0,26.0,1.0,650.0,14.0,101.0,460.0
301,2561,89,0,30.0,9.0,2.0,650.0,14.0,101.0,450.0
302,2561,18,0,30.0,9.0,1.0,750.0,14.0,101.0,450.0
303,2561,21,0,30.0,9.0,8.0,700.0,14.0,101.0,450.0
304,2561,25,0,30.0,10.0,5.0,650.0,14.0,101.0,450.0
305,2561,58,0,30.0,10.0,14.0,700.0,14.0,101.0,450.0
306,2561,21,34,30.0,13.0,14.0,2300.0,16.8,101.0,450.0
307,2561,50,0,30.0,15.0,7.0,700.0,14.0,101.0,450.0
308,2561,101,0,30.0,15.0,5.0,650.0,14.0,101.0,450.0
309,2561,56,0,30.0,1.0,14.0,650.0,13.0,101.0,450.0
310,2561,51,74,30.0,31.0,3.0,700.0,14.0,101.0,450.0
311,2561,69,51,30.0,31.0,2.0,600.0,14.0,101.0,450.0
312,2561,145,141,30.0,31.0,1.0,700.0,14.0,101.0,450.0
313,2561,62,96,30.0,31.0,5.0,700.0,14.0,101.0,440.0
314,2561,26,4,30.0,18.0,6.0,650.0,14.0,101.0,450.0
315,2561,65,0,30.0,18.0,3.0,650.0,8.5,101.0,500.0
316,2561,28,5,30.0,18.0,9.0,750.0,14.0,101.0,450.0
317,2561,1,4,30.0,18.0,1.0,650.0,14.0,101.0,460.0
318,2561,0,9,30.0,18.0,4.0,700.0,14.0,101.0,480.0
319,2561,3,38,30.0,18.0,7.0,850.0,8.5,101.0,420.0
320,2561,3,5,30.0,18.0,2.0,650.0,14.0,101.0,450.0
321,2561,59,23,30.0,18.0,10.0,600.0,14.0,101.0,450.0
322,2561,31,0,30.0,3.0,3.0,700.0,14.0,101.0,450.0
323,2561,77,0,30.0,3.0,2.0,650.0,14.0,101.0,460.0
324,2561,90,0,30.0,22.0,1.0,650.0,14.0,101.0,480.0
325,2561,17,8,30.0,19.0,2.0,750.0,14.0,101.0,460.0
326,2561,84,9,30.0,19.0,4.0,650.0,14.0,101.0,450.0
327,2561,145,0,30.0,6.0,4.0,600.0,14.0,101.0,450.0
328,2561,32,0,30.0,32.0,2.0,650.0,14.0,101.0,450.0
329,2561,38,14,30.0,32.0,4.0,750.0,14.0,101.0,410.0
330,2561,102,3,30.0,17.0,1.0,700.0,14.0,101.0,480.0
331,2561,20,0,30.0,7.0,2.0,600.0,14.0,101.0,480.0
332,2561,27,0,30.0,7.0,9.0,600.0,14.0,101.0,480.0
333,2561,83,37,30.0,24.0,2.0,700.0,14.0,101.0,450.0
334,2561,88,0,30.0,9.0,3.0,800.0,14.0,101.0,450.0
